ID,wav_path,class_idx,class_name
0,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/101848-9-0-0.wav,9,street_music
1,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/101848-9-0-1.wav,9,street_music
2,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/101848-9-0-2.wav,9,street_music
3,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/101848-9-0-3.wav,9,street_music
4,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/101848-9-0-8.wav,9,street_music
5,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/101848-9-0-9.wav,9,street_music
6,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/102853-8-0-0.wav,8,siren
7,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/102853-8-0-1.wav,8,siren
8,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/102853-8-0-2.wav,8,siren
9,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/102853-8-0-3.wav,8,siren
10,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/102853-8-0-4.wav,8,siren
11,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/102853-8-0-5.wav,8,siren
12,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/102853-8-0-6.wav,8,siren
13,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/102853-8-1-0.wav,8,siren
14,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold2/102871-8-0-0.wav,8,siren
15,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold2/102871-8-0-1.wav,8,siren
16,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold2/102871-8-0-10.wav,8,siren
17,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold2/102871-8-0-11.wav,8,siren
18,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold2/102871-8-0-12.wav,8,siren
19,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold2/102871-8-0-13.wav,8,siren
20,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold2/102871-8-0-14.wav,8,siren
21,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold2/102871-8-0-15.wav,8,siren
22,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold2/102871-8-0-2.wav,8,siren
23,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold2/102871-8-0-3.wav,8,siren
24,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold2/102871-8-0-4.wav,8,siren
25,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold2/102871-8-0-5.wav,8,siren
26,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold2/102871-8-0-6.wav,8,siren
27,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold2/102871-8-0-7.wav,8,siren
28,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold2/102871-8-0-8.wav,8,siren
29,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold2/102871-8-0-9.wav,8,siren
30,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/105289-8-0-0.wav,8,siren
31,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/105289-8-0-1.wav,8,siren
32,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/105289-8-0-2.wav,8,siren
33,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/105289-8-0-3.wav,8,siren
34,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/105289-8-0-4.wav,8,siren
35,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/105289-8-0-5.wav,8,siren
36,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/105289-8-1-0.wav,8,siren
37,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/105289-8-1-1.wav,8,siren
38,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/105289-8-1-2.wav,8,siren
39,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/105289-8-1-3.wav,8,siren
40,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/105289-8-1-4.wav,8,siren
41,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/105289-8-2-0.wav,8,siren
42,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/105289-8-2-1.wav,8,siren
43,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/105289-8-2-2.wav,8,siren
44,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/105289-8-2-3.wav,8,siren
45,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/105289-8-2-4.wav,8,siren
46,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/105289-8-2-5.wav,8,siren
47,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/105289-8-2-6.wav,8,siren
48,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/105289-8-2-7.wav,8,siren
49,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold5/105425-9-0-1.wav,9,street_music
50,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold5/105425-9-0-10.wav,9,street_music
51,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold5/105425-9-0-12.wav,9,street_music
52,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold5/105425-9-0-13.wav,9,street_music
53,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold5/105425-9-0-14.wav,9,street_music
54,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold5/105425-9-0-23.wav,9,street_music
55,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold1/106905-8-0-0.wav,8,siren
56,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold1/106905-8-0-1.wav,8,siren
57,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold1/106905-8-0-2.wav,8,siren
58,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold1/106905-8-0-3.wav,8,siren
59,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-0-0.wav,8,siren
60,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-0-1.wav,8,siren
61,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-0-2.wav,8,siren
62,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-0-3.wav,8,siren
63,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-0-4.wav,8,siren
64,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-0-5.wav,8,siren
65,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-0-6.wav,8,siren
66,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-0-7.wav,8,siren
67,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-0-8.wav,8,siren
68,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-1-0.wav,8,siren
69,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-1-1.wav,8,siren
70,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-1-10.wav,8,siren
71,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-1-11.wav,8,siren
72,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-1-12.wav,8,siren
73,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-1-13.wav,8,siren
74,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-1-14.wav,8,siren
75,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-1-15.wav,8,siren
76,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-1-16.wav,8,siren
77,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-1-17.wav,8,siren
78,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-1-18.wav,8,siren
79,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-1-2.wav,8,siren
80,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-1-3.wav,8,siren
81,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-1-4.wav,8,siren
82,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-1-5.wav,8,siren
83,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-1-6.wav,8,siren
84,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-1-7.wav,8,siren
85,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-1-8.wav,8,siren
86,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold7/107357-8-1-9.wav,8,siren
87,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold4/107653-9-0-12.wav,9,street_music
88,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold4/107653-9-0-14.wav,9,street_music
89,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold4/107653-9-0-18.wav,9,street_music
90,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold4/107653-9-0-3.wav,9,street_music
91,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold4/107653-9-0-5.wav,9,street_music
92,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold4/107653-9-0-7.wav,9,street_music
93,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold1/108041-9-0-11.wav,9,street_music
94,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold1/108041-9-0-2.wav,9,street_music
95,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold1/108041-9-0-4.wav,9,street_music
96,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold1/108041-9-0-5.wav,9,street_music
97,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold1/108041-9-0-6.wav,9,street_music
98,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold1/108041-9-0-7.wav,9,street_music
99,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold1/108041-9-0-9.wav,9,street_music
100,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold5/108357-9-0-15.wav,9,street_music
101,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold5/108357-9-0-2.wav,9,street_music
102,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold5/108357-9-0-27.wav,9,street_music
103,/mnt/data/Sound Sets/UrbanSound8K/UrbanSound8K/audio/fold5/108357-9-0-30.wav,9,street_music
